chrom	chromStart	chromEnd	beta
chr17	13034838	13036659	0.12
chr2	20757349	20759287	0.6
chr12	77536772	77538590	0.0
chr20	38706485	38706853	0.16
chr1	81596946	81598777	0.97
chr5	61128379	61130057	1.0
chrX	70814314	70816206	0.0
chr2	230868939	230870165	0.12
chr2	204732270	204733174	0.8
chr5	60298903	60300836	0.89
chr9	95198658	95200523	0.79
chr15	41743365	41744492	0.39
chrX	70216754	70217658	0.0
chr12	100532831	100533841	0.06
chr14	96541958	96543635	0.5
chr3	122771706	122772920	0.85
chrX	30140278	30142200	0.0
chr7	50021984	50023681	0.14
chr10	28119698	28121473	0.0
chr16	7804040	7805094	0.17
chr6	100197112	100197842	0.56
chrX	109329922	109331641	0.08
chr6	147121862	147123815	0.83
chr5	64467502	64469501	0.0
chr14	50724594	50726399	0.73
chr7	132950438	132951675	0.69
chr15	89362997	89363048	0.0
chr8	85313716	85315597	0.0
chr2	19355549	19356157	0.07
chr2	118448864	118450707	0.0
chr15	55433574	55435182	0.77
chr1	162310125	162310170	0.78
chr7	132592390	132593206	0.0
chr5	59770280	59771395	0.89
chr3	189955072	189956926	0.12
chr20	45126485	45128172	0.03
chr2	33352288	33352321	0.57
chr15	60006015	60007310	0.13
chr5	10787290	10788682	0.61
chr11	29210172	29211929	0.0
chr2	33299166	33299517	0.2
chr9	72585307	72585397	0.0
chr1	198281686	198283520	0.75
chr4	155755029	155756862	0.83
chr8	144339268	144339320	0.79
chr5	12093581	12094125	0.56
chr5	39094286	39094375	0.73
chr18	29450111	29451719	1.0
chr12	46771886	46773752	0.02
chr2	36286931	36288368	0.0
chr6	30599816	30601669	0.81
chr4	156397683	156399208	0.0
chr2	200322513	200324464	1.0
chr4	156230833	156232608	0.0
chr12	47244202	47244215	0.63
chr6	141779479	141781474	0.0
chr10	33141791	33143291	0.9
chr2	112995602	112997396	0.0
chr10	94893854	94895750	0.0
chr7	110534323	110534872	0.0
chr2	26968403	26968712	0.82
chr5	8174599	8174835	0.5
chr10	33181661	33183508	0.77
chr6	142080558	142082467	0.04
chrX	68296378	68296583	0.0
chr1	183711116	183713003	0.72
chr8	15434709	15434998	0.55
chr6	105466525	105468353	0.67
chrX	65793750	65795367	0.0
chr7	99960326	99960529	0.12
chr5	32824437	32825709	0.18
